analito_id,sexo,idade_min,idade_max,limite_inferior,limite_superior,fonte
# Referência "clássica/laboratorial" impressa no laudo do SUS (Prefeitura do RJ).
# Fontes citadas no próprio laudo: Wintrobe (Greer, 2003) e Dacie & Lewis (2017).
# Série vermelha: valores do estrato Adulto-Feminino do laudo analisado.
# Série branca e plaquetas: faixas "Adulto" (sexo-independentes) do laudo.
Hemácias,F,18,120,3.8,4.8,Laudo SUS (Wintrobe/Dacie&Lewis)
Hemoglobina,F,18,120,12.0,15.0,Laudo SUS (Wintrobe/Dacie&Lewis)
Hematócrito,F,18,120,36.0,46.0,Laudo SUS (Wintrobe/Dacie&Lewis)
VCM,F,18,120,83.0,101.0,Laudo SUS (Wintrobe/Dacie&Lewis)
HCM,F,18,120,27.0,32.0,Laudo SUS (Wintrobe/Dacie&Lewis)
CHCM,F,18,120,31.0,35.0,Laudo SUS (Wintrobe/Dacie&Lewis)
RDW,F,18,120,11.6,14.0,Laudo SUS (Wintrobe/Dacie&Lewis)
leucocitos,Todos,18,120,4000,10000,Laudo SUS (Wintrobe/Dacie&Lewis)
Neutrófilos,Todos,18,120,1800,7800,Laudo SUS (Wintrobe/Dacie&Lewis)
Eosinófilos,Todos,18,120,20,500,Laudo SUS (Wintrobe/Dacie&Lewis)
Basófilos,Todos,18,120,20,100,Laudo SUS (Wintrobe/Dacie&Lewis)
Linfócitos,Todos,18,120,1000,3000,Laudo SUS (Wintrobe/Dacie&Lewis)
Monócitos,Todos,18,120,200,1000,Laudo SUS (Wintrobe/Dacie&Lewis)
Plaquetas,Todos,18,120,150000,450000,Laudo SUS (Wintrobe/Dacie&Lewis)
